,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Dadá Boladão,Surtada - Remix Brega Funk,5F8ffc8KWKNawllr5WsW0r,86,0.832,0.55,5,-7.026,0,0.0587,0.249,8.17e-06,0.182,0.881,154.064,152784,4
1,Marília Mendonça,Supera - Ao Vivo,3GmJxfnUDrIs1iCfKUELFz,85,0.665,0.743,4,-4.434,1,0.0567,0.0604,0.0,0.959,0.658,131.573,147748,4
2,MC Du Black,Gaiola É o Troco,3Uq45ipGutypFPmETfaoaH,85,0.722,0.84,10,-3.24,0,0.0785,0.42,0.0,0.112,0.851,150.108,187246,4
3,Anitta,Some que ele vem atrás,2qD7VoDYcrAPY0cVEfpsR5,84,0.648,0.795,0,-5.536,0,0.17,0.0748,0.0,0.38,0.598,180.043,194771,4
4,Jorge & Mateus,Cheirosa - Ao Vivo,2PWjKmjyTZeDpmOUa3a5da,84,0.528,0.87,11,-3.123,1,0.0851,0.24,0.0,0.333,0.714,152.37,181930,4
5,Felipe Original,Hit Contagiante,5dKesZwp6deuhEeW8F1UEi,84,0.819,0.684,6,-7.169,0,0.119,0.132,0.0,0.0942,0.959,170.187,137125,4
6,Lexa,Chama Ela (feat. Pedro Sampaio),14kRWkCWBYfQqILflEcpSJ,84,0.888,0.841,6,-1.933,1,0.147,0.46,9.12e-05,0.0568,0.964,149.994,120200,4
7,Jorge & Mateus,Tijolão - Ao Vivo,6QwFUcPc5nhsqZuhXUYtV7,83,0.637,0.877,4,-3.68,0,0.198,0.469,0.0,0.343,0.691,118.889,175219,4
8,Anitta,Combatchy (feat. MC Rebecca),2bPtwnrpFNEe8N7Q85kLHw,83,0.826,0.73,1,-3.032,1,0.0809,0.383,0.000374,0.0197,0.605,150.134,157600,4
9,Zé Neto & Cristiano,Ferida Curada,1U3tv41tFRgOfbytpuYQrR,83,0.49,0.845,2,-3.359,1,0.0973,0.49,0.0,0.213,0.548,146.105,159164,4
10,Ludmilla,Invocada (Participação especial de Léo Santana) - Ao vivo,4k20Ie47EcWtS4wMBn8w8S,83,0.776,0.864,1,-4.281,1,0.0517,0.478,0.0,0.932,0.701,134.992,157494,4
11,Leo Santana,Contatinho - Ao Vivo Em São Paulo / 2019,4RC2nzqaQygxoVQOVv3XlT,83,0.787,0.934,10,-5.136,0,0.0773,0.223,1.87e-05,0.951,0.813,152.018,173230,4
12,Matheus & Kauan,Quarta Cadeira - Ao Vivo,5q0NlM6Pm8Pp3orq7zGiRn,82,0.565,0.82,5,-5.031,0,0.243,0.589,0.0,0.621,0.604,76.471,224002,4
13,Pk,Quando a vontade bater (Participação especial de PK Delas),26WpOBpHiIMoBuMEIwtOCH,83,0.621,0.7,8,-5.502,1,0.247,0.539,0.0,0.152,0.704,149.902,166400,4
14,Matuê,Kenny G,3MkdA6vwF0ifRl86yzTlJW,82,0.417,0.767,9,-3.31,1,0.194,0.0778,0.0,0.113,0.152,72.573,189600,3
15,MC JottaPê,Sentou e Gostou,6V43u5SCjkfMpxMAXRPifr,82,0.702,0.672,7,-3.308,1,0.397,0.261,0.000988,0.0916,0.722,131.453,163253,4
16,Luan Santana,quando a bad bater - ao vivo,1nVIlX3h3Ds9bH6JMQopIU,82,0.647,0.787,1,-4.767,1,0.0413,0.307,0.0,0.532,0.535,128.121,179722,4
17,Vitão,Complicado,52vPpP2gEYaBROIS77J38P,82,0.734,0.484,7,-7.486,0,0.13,0.57,0.0,0.224,0.499,130.05,179339,4
18,Marília Mendonça,Serenata - Ao Vivo,5fY9bVl1Wj4PIM3wnduWop,81,0.711,0.711,4,-5.691,1,0.0896,0.103,0.0,0.971,0.743,131.813,156371,4
19,Luan Santana,choque térmico - ao vivo,159ntSAEWJ9zIMOSXmQ530,81,0.737,0.758,2,-5.508,1,0.0402,0.342,0.0,0.834,0.734,126.978,180001,4
20,ANAVITÓRIA,Pupila,7Gk5OrMYaMRtT2JmgJVAfk,81,0.716,0.426,10,-9.576,1,0.128,0.401,0.0,0.11,0.434,88.794,202288,4
21,MC G15,Ela Vem,31yFXM26dazFnWI2eoOM5R,81,0.616,0.634,11,-7.389,1,0.546,0.619,0.0,0.0732,0.586,185.186,196800,5
22,Gusttavo Lima,Quem Traiu Levou - Ao Vivo,1owErGXMkNVCgCmCjI1vRL,81,0.583,0.958,11,-2.395,1,0.0849,0.325,1.98e-06,0.322,0.826,173.937,154183,4
23,Guilherme & Benuto,3 Batidas - Ao Vivo,1uryupl9hqVZYurJwH4G9k,81,0.552,0.709,8,-5.435,1,0.129,0.611,0.0,0.763,0.528,117.582,157186,4
24,Giulia Be,menina solta,2MOq63fxuFLYQM3CsDcFs1,81,0.632,0.559,11,-6.74,0,0.0797,0.331,0.0,0.16,0.673,91.811,150026,4
25,Marília Mendonça,Todo Mundo Vai Sofrer - Ao Vivo,4E6RdcCWMiHTu7zy1VTNDo,81,0.621,0.743,3,-3.864,1,0.0738,0.281,0.0,0.411,0.581,111.454,154661,4
26,Marília Mendonça,Bebi Liguei - Ao Vivo,3RbXsVQr4jeTxvT35Hssq3,80,0.603,0.804,0,-4.253,1,0.198,0.362,0.0,0.743,0.682,153.883,159780,4
27,Xand Avião,Algo Mais (Amante) - Ao Vivo,4jGzR5Vri06Y5T9SxM7m5P,80,0.697,0.844,9,-3.076,1,0.0575,0.285,0.0,0.753,0.665,139.993,231680,4
28,Dj Guuga,Vidrado Em Você,2kOmW169C7UV4SZDN9u0YO,80,0.843,0.925,2,0.302,1,0.0997,0.139,7.65e-06,0.109,0.59,159.926,134769,4
29,Yasmin Santos,"Para, Pensa e Volta - Ao Vivo",2KyXyTrp3kp1Fsg7B1osYD,80,0.611,0.791,2,-3.095,1,0.0436,0.245,0.0,0.237,0.572,111.928,174179,4
30,Matheus & Kauan,Vou Ter Que Superar - Ao Vivo,6sRLrSetyIwIKhW1eMlUNP,79,0.505,0.721,1,-5.86,1,0.061,0.768,0.0,0.869,0.421,106.248,189059,4
